address	site	calendar_id
A70--Glenbrook Rd To B7031	1506108/a70-glenbrook-rd-to-b7031	wednesday-1
Abbotsford Crescent	1506107/abbotsford-crescent	tuesday-2
Abbotsford Park	1506106/abbotsford-park	tuesday-2
Abercorn Avenue	1506105/abercorn-avenue	wednesday-2
Abercorn Cottages	1506104/abercorn-cottages	wednesday-1
Abercorn Crescent	1506103/abercorn-crescent	wednesday-2
Abercorn Drive	1506102/abercorn-drive	wednesday-2
Abercorn Gardens	1506101/abercorn-gardens	wednesday-2
Abercorn Grove	1506100/abercorn-grove	wednesday-2
Abercorn Road	1506099/abercorn-road	wednesday-2
Abercorn Terrace	1506098/abercorn-terrace	friday-2
Abercromby Place	1506097/abercromby-place	wednesday-1
Abinger Gardens All Properties Except 1A	1506096/abinger-gardens-all-properties-except-1a	friday-1
Abinger Gardens Only 1A	1506095/abinger-gardens-only-1a	friday-2
Achnacarry Street	1506094/achnacarry-street	thursday-2
Adams Well	1506093/adams-well	wednesday-2
Addiston Crescent	1506092/addiston-crescent	wednesday-1
Addiston Farm Road	1506091/addiston-farm-road	thursday-1
Addiston Grove	1506090/addiston-grove	wednesday-1
Addiston Park	1506089/addiston-park	wednesday-1
Adelphi Grove	1506088/adelphi-grove	friday-1
Adelphi Place	1506087/adelphi-place	friday-1
Adit Place	1506086/adit-place	thursday-1
Admiral Terrace	1506085/admiral-terrace	tuesday-2
Affleck Court	1506084/affleck-court	thursday-2
Affleck Way	1506083/affleck-way	wednesday-1
Afton Place	1506082/afton-place	tuesday-2
Afton Terrace	1506081/afton-terrace	tuesday-2
Ainslie Place	1506080/ainslie-place	wednesday-1
Aitchison's Place	1506079/aitchison-s-place	friday-1
Alan Breck Gardens	1506078/alan-breck-gardens	friday-1
Albany Lane	1506077/albany-lane	wednesday-1
Albany Street	1506076/albany-street	wednesday-1
Albany Street Lane	1506075/albany-street-lane	wednesday-1
Albert Terrace	1506074/albert-terrace	tuesday-2
Alcorn Square	1506073/alcorn-square	wednesday-1
Alderbank Gardens	1506072/alderbank-gardens	tuesday-1
Alderbank Place	1506071/alderbank-place	tuesday-1
Alderbank Terrace	1506070/alderbank-terrace	tuesday-1
Aldermoor Avenue	1506069/aldermoor-avenue	tuesday-1
Alemoor Crescent	1506068/alemoor-crescent	wednesday-1
Alemoor Park	1506067/alemoor-park	wednesday-1
Alexander Drive	1506066/alexander-drive	tuesday-2
Alfred Place	1506065/alfred-place	wednesday-1
Allan Park	1506064/allan-park	thursday-1
Allan Park Crescent	1506063/allan-park-crescent	tuesday-2
Allan Park Drive	1506062/allan-park-drive	tuesday-2
Allan Park Gardens	1506061/allan-park-gardens	tuesday-2
Allan Park Loan	1506060/allan-park-loan	tuesday-2
Allan Park Road	1506059/allan-park-road	tuesday-2
A70--Glenbrook Rd To B7031	1506108/a70-glenbrook-rd-to-b7031	wednesday-1
Abbotsford Crescent	1506107/abbotsford-crescent	tuesday-2
